category,id,sentence,situation,huntType,factType,jimmyType,owlType
filler,0,It was surprising that the owl saw the mouse even if it was dark.,Owls can hunt if it is dark.,hunt,,,
target,1,The owl caught the mouse and played with it.,Owls are very good hunters.,hunt,,,
filler,2,It was surprising that the owl did not eat the mouse.,Owls can eat a lot of mice.,,fact,,
target,3,Jimmy called the owl but the owl did not listen.,Owls are not very good listeners.,,fact,,
filler,4,It was surprising that the owl saw the mouse even if it was dark.,Owls are awesome.,,fact,,
target,5,The owl caught the mouse and fed it another owl,Owls have a lot of feathers.,hunt,,,
filler,6,It was surprising that the owl saw the mouse even if it was dark.,Owls have a lot of humor.,,fact,,
target,7,The owl caught the mouse and ate it.,Jimmy petted an owl once.,,,jimmy,
filler,8,It was surprising that the owl saw the mouse even if it was dark.,The owl caught a mouse and brought it to Jimmy.,,,jimmy,
target,9,The owl caught the mouse but the mouse was too quick.,Jimmy is the best friend of an owl.,,,jimmy,
check,10,Please select “MAX_SCALE_DESC” to pass this check.,This is an attention check.,,,,
check,11,Please select “MIN_SCALE_DESC” to pass this check.,This is an attention check.,,,,
target,12,The owl caught the mouse and played with it.,Owls are very good hunters.,hunt,,,
filler,13,It was surprising that the owl did not eat the mouse.,Owls can eat a lot of mice.,,fact,,
target,14,Jimmy called the owl but the owl did not listen.,Owls are not very good listeners.,,fact,,
filler,15,It was surprising that the owl saw the mouse even if it was dark.,Owls are awesome.,,fact,,
target,16,The owl caught the mouse and fed it another owl,Owls have a lot of feathers.,hunt,,,
filler,17,It was surprising that the owl saw the mouse even if it was dark.,Owls are awesome.,,fact,,
target,18,The owl caught the mouse and fed it another owl,Owls have a lot of feathers.,hunt,,,
filler,19,It was surprising that the owl saw the mouse even if it was dark.,Owls have a lot of humor.,,fact,,
filler,20,It was surprising that the owl saw the mouse even if it was dark.,Owls are awesome.,,fact,,
target,21,The owl caught the mouse and fed it another owl,Owls have a lot of feathers.,hunt,,,
filler,22,It was surprising that the owl saw the mouse even if it was dark.,Owls are awesome.,,fact,,
target,23,The owl caught the mouse and fed it another owl,Owls have a lot of feathers.,hunt,,,
